SrNo,Name,RegNo,State,City,Address,PIN,SectorWorking
2,360 Gotriya Khatik Samaj Kalyan Samiti,07/33/01/05223/04,Madhya Pradesh, Ujjain ,"02 Khatik Samaj Dhramshala Evam Chatrawas Nagar, Near Kot Mata Temple, Fazalpura",,"Art & Culture,Education & Literacy,Women's Development & Empowerment,Youth Affairs,Any Other,Skill Development,Labour & Employment"
3,3S Security Services,879 ,Madhya Pradesh, Indore ,"01,Panda Road,Near Hotel Mashal,Tehsil-Rau,District-Indore (Madhyapradesh)",,"Labour & Employment,Vocational Training,Any Other"
4,A Commn Man For Information And Action Samiti,01/01/01/22542/10,Madhya Pradesh, Bhopal ,66 Jain Mandir Road Mangalwara Bhopal,,NaN
5,A Ray To Hope Foundation,05/22/03/14543/18,Madhya Pradesh, Rewa ,"23/445, Arjun Nagar, Rewa",,"Education & Literacy,Children,Differently Abled,Health & Family Welfare,Nutrition,Water Resources,Women's Development & Empowerment"
6,A Sociel Welfare Soicety  Nurture Equality Education And Vision,03/27/03/17305/14,Madhya Pradesh, Indore ,Correspondence Address:- 401-F Vijaya Apartment779/1 Manishpuri Saket Indore -452001 Mp India,452001,"Art & Culture,Children,Civic Issues,Education & Literacy,Human Rights,Information & Communication Technology,Labour & Employment,Minority Issues,Urban Development & Poverty Alleviation,Vocational Training,Youth Affairs"
7,A To Z Education Society,04/18/01/13996/11,Madhya Pradesh, Seoni ,"Mandla Road, Kabeer Ward 06Dundaseoni Seoni",,"Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,HIV/AIDS,Information & Communication Technology,Minority Issues,Nutrition,Rural Development & Poverty Alleviation,Science & Technology,Sports,Tourism,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs,Any Other"
8,A V S Shiksha Evam Samajotthan Samiti,06/09/10/09518/13,Madhya Pradesh, Sagar ,Naya Bazar Malthon,,NaN
9,Aabhas Kala Sewa Samiti,IND/3025/97,Madhya Pradesh, Indore ,"Artys, 148 Teja Ji Nagar Kasturbagram Khandwa Road Indore ",,Aged/Elderly
10,Aacharya Guruvar Vidhyasagar Organization For Educational Ar&D,06/13/01/12921/19,Madhya Pradesh, Tikamgarh ,"28 1 13, Mahaveer Vihar Colony, Kunwarpura Darwaja, Tikamgarh",,NaN
1,1 Roti Gau Mata Ke Naam Trust,31Jaipur2020,Rajasthan, Jaipur ,"Plot No. 2, Bhadu Farm House Lane, Opp. Kamla Devi Budhiya School, 200 Ft. Bypass, Ajmer Road, Heerapura, Jaipur-302021",302021,NaN
2,100Medals Targeted Foundation,U85300RJ2021NPL077070,Rajasthan, Jaipur ,"Flat No. 04, Primrose 1, Park Apartments Vatika, Infotech City, Villagethikaria, Jaipur, Rajasthan302026",302026,Sports
3,109 Chandan Parshpadmawati Trust,17/2012/JODHPUR,Rajasthan, Jodhpur ,"Maa Padmawati Nagar, Chandan Vatka, Tanawada Fanta, Salawas Road",,Any Other
